Poisonous,Cap-shape,Cap-surface,Cap-color,Bruises,Odor,Gill-attachment,Gill-spacing,Gill-size,Gill-color,Stalk-shape,Stalk-root,Stalk-surface-above-ring,Stalk-surface-below-ring,Stalk-color-above-ring,Stalk-color-below-ring,Veil-type,Veil-color,Ring-number,Ring-type,Spore-print-color,Population,Habitat,epsilon
e,s,y,u,t,y,f,w,n,u,t,b,f,s,y,g,p,w,n,l,r,a,p,2.0
p,x,s,n,f,n,f,w,n,u,t,?,k,f,n,o,p,n,t,p,b,s,w,2.0
p,k,y,g,f,m,a,w,b,u,e,e,k,y,y,o,p,w,o,n,n,a,w,2.0
p,x,f,y,f,c,a,c,b,b,e,e,k,k,e,o,p,w,t,n,r,v,d,2.0
e,c,f,u,f,s,a,w,n,o,e,e,k,y,o,p,p,y,o,p,y,a,u,2.0
p,b,s,b,f,c,f,w,n,w,e,c,s,f,g,b,p,y,n,f,o,y,l,2.0
e,f,s,p,f,s,f,c,n,g,t,c,y,k,n,n,p,w,t,n,h,c,w,2.0
e,b,s,b,f,c,a,c,b,o,e,b,k,s,p,c,p,o,n,p,o,c,w,2.0
e,k,g,w,t,a,f,c,n,p,e,e,k,f,n,b,p,y,t,l,w,c,m,2.0
e,b,y,n,f,n,a,c,b,e,t,r,f,y,o,w,p,o,o,l,r,v,m,2.0
e,x,f,g,t,s,f,c,n,y,t,?,k,y,g,y,p,n,n,e,k,a,w,2.0
p,b,g,c,f,m,f,c,b,r,e,r,s,s,e,b,p,n,t,f,r,s,m,2.0
p,c,g,b,f,s,a,c,b,e,t,e,y,f,g,y,p,y,n,f,h,n,l,2.0
e,x,f,n,t,y,f,c,n,h,e,?,f,k,b,c,p,o,t,e,y,a,p,2.0
e,b,g,r,t,n,f,c,n,y,t,?,f,y,p,p,p,o,o,n,k,c,g,2.0
e,c,f,r,f,f,a,c,n,o,e,r,f,k,c,o,p,o,n,p,r,y,p,2.0
p,k,f,w,t,n,a,w,n,r,e,e,s,s,b,b,p,w,n,n,y,y,u,2.0
p,k,g,p,t,f,a,c,n,w,t,r,y,k,n,e,p,o,t,p,o,v,d,2.0
e,x,s,b,f,a,f,w,b,o,e,e,y,y,w,b,p,n,t,f,w,v,m,2.0
e,s,f,u,f,f,f,w,b,o,t,c,y,y,y,n,p,w,o,l,b,s,d,2.0
e,c,f,w,t,a,f,w,b,k,t,b,k,f,w,b,p,w,n,n,h,c,l,2.0
e,b,s,r,t,c,f,w,b,b,e,b,y,f,w,c,p,y,t,f,b,s,m,2.0
p,c,y,p,f,m,a,c,n,n,e,e,f,s,c,o,p,y,t,p,u,n,l,2.0
p,x,f,b,t,l,a,c,b,e,t,?,s,y,y,g,p,n,n,f,k,v,p,2.0
e,s,f,p,t,f,a,w,n,o,e,e,s,k,p,c,p,y,t,e,b,y,w,2.0
p,x,f,p,f,n,f,w,b,o,t,r,f,f,y,e,p,n,o,e,n,c,l,2.0
p,x,f,c,f,n,f,c,b,y,e,?,k,k,c,n,p,y,o,e,h,a,p,2.0
e,f,y,c,f,m,a,w,b,n,e,r,s,f,y,g,p,o,o,n,y,s,l,2.0
p,c,s,e,f,n,f,c,b,n,t,e,s,f,e,o,p,w,n,n,h,n,l,2.0
e,c,g,u,t,s,f,w,n,b,e,c,k,y,p,e,p,w,o,n,y,s,g,2.0
p,f,y,p,f,a,a,w,n,r,t,b,s,k,b,o,p,o,n,p,k,y,p,2.0
p,c,s,r,t,s,f,w,n,k,t,c,s,s,g,b,p,w,t,l,b,s,d,2.0
p,f,f,n,t,f,a,c,n,h,t,e,f,k,b,n,p,y,t,f,n,n,u,2.0
p,c,f,g,t,c,a,c,n,o,t,e,k,k,w,o,p,y,t,l,u,n,l,2.0
e,f,s,w,f,m,f,c,b,r,t,r,k,f,p,y,p,y,o,n,u,s,u,2.0
p,c,f,w,f,s,f,w,n,p,t,b,y,s,n,p,p,o,t,e,u,y,l,2.0
e,f,s,c,f,a,f,c,b,h,e,e,k,y,o,n,p,y,o,p,n,s,u,2.0
p,k,s,u,t,p,f,c,b,n,t,r,s,s,w,n,p,y,n,n,k,v,p,2.0
e,s,s,b,f,p,a,c,b,y,t,?,s,s,o,e,p,n,n,p,u,s,w,2.0
p,k,f,b,t,p,f,w,n,k,t,b,s,y,y,b,p,o,o,e,n,n,d,2.0
e,k,y,y,f,s,f,w,n,b,t,e,f,y,p,o,p,w,n,n,k,v,g,2.0
e,k,y,c,t,n,a,w,n,k,e,e,f,f,c,c,p,w,o,e,o,s,l,2.0
p,k,f,r,f,y,f,c,b,o,t,c,k,y,e,y,p,o,t,p,y,n,g,2.0
p,f,g,n,f,l,f,w,b,g,e,e,s,y,w,o,p,w,t,p,w,a,m,2.0
p,k,f,y,f,s,f,c,b,o,t,?,s,y,e,n,p,o,o,l,r,c,m,2.0
p,s,g,g,f,a,f,c,n,h,t,c,f,f,y,o,p,y,t,e,n,n,l,2.0
p,x,g,e,t,p,f,w,b,g,t,c,f,f,c,p,p,n,o,n,o,c,l,2.0
e,c,f,n,t,c,f,w,b,e,t,r,y,f,n,o,p,o,o,l,h,s,p,2.0
p,f,y,u,t,c,a,c,n,u,t,b,k,s,e,b,p,y,n,e,w,y,u,2.0
p,x,y,n,t,f,f,w,b,n,t,?,f,y,c,y,p,w,t,f,b,n,g,2.0
e,b,s,p,f,a,a,w,n,r,e,e,f,s,w,p,p,o,o,f,u,v,g,2.0
e,f,y,w,t,p,f,c,b,g,e,?,k,f,c,b,p,y,n,p,n,n,w,2.0
e,c,y,w,t,a,a,c,b,u,t,e,k,y,n,w,p,o,t,e,k,v,u,2.0
p,b,y,r,f,p,f,c,b,k,e,r,f,f,c,p,p,y,o,l,y,v,p,2.0
e,s,s,u,f,s,a,c,n,b,e,r,y,f,y,c,p,n,o,n,w,y,u,2.0
e,f,s,p,f,a,a,w,b,n,e,e,f,y,w,w,p,o,n,n,u,y,g,2.0
e,c,g,w,t,c,a,c,b,h,t,b,y,s,c,w,p,y,o,e,n,y,u,2.0
p,f,s,c,t,y,f,c,n,e,e,e,f,k,n,c,p,w,n,n,r,v,u,2.0
p,s,f,b,t,s,a,w,b,r,e,b,f,f,b,p,p,w,o,e,r,a,u,2.0
e,s,g,y,f,y,f,w,b,g,e,?,k,s,n,w,p,o,o,n,r,a,d,2.0
p,s,g,r,f,l,a,w,n,u,t,?,y,f,e,o,p,n,n,l,o,n,g,2.0
e,s,s,g,f,s,f,c,b,g,e,c,s,k,o,n,p,n,t,e,h,s,g,2.0
e,k,s,n,t,p,a,w,b,y,e,?,y,s,o,w,p,w,n,p,n,s,l,2.0
p,f,y,p,t,y,f,w,n,n,e,e,k,k,b,n,p,n,n,f,u,a,d,2.0
p,s,y,u,t,p,f,c,b,k,t,r,s,y,b,y,p,w,t,n,y,a,u,2.0
p,s,y,g,t,c,a,c,n,h,e,?,s,y,g,e,p,o,n,p,n,s,m,2.0
p,b,f,e,f,f,f,w,n,g,e,r,f,y,g,o,p,o,t,n,u,y,g,2.0
p,f,g,p,f,l,a,c,b,p,e,r,s,f,o,g,p,w,t,n,k,s,m,2.0
p,c,f,p,f,a,f,w,n,y,e,b,y,k,p,n,p,w,n,n,w,v,w,2.0
p,s,f,w,t,y,f,w,b,e,e,c,k,f,w,c,p,y,t,p,u,a,w,2.0
p,c,y,p,f,p,a,w,b,p,t,?,s,s,p,w,p,n,o,n,k,c,w,2.0
p,b,f,c,t,a,a,w,b,u,e,r,k,s,g,e,p,y,t,e,u,y,g,2.0
p,s,f,y,t,y,f,w,n,y,e,e,k,f,y,o,p,o,o,e,y,c,w,2.0
e,f,g,b,f,a,f,c,b,n,e,b,k,s,g,e,p,o,n,p,r,y,w,2.0
e,f,f,w,t,a,a,w,n,o,t,?,f,f,n,c,p,w,o,l,n,c,w,2.0
e,s,y,b,f,y,f,c,n,y,e,c,y,k,p,e,p,o,o,l,r,y,u,2.0
p,s,s,r,f,a,a,w,n,o,e,r,k,f,c,g,p,n,t,f,r,s,g,2.0
p,f,y,n,f,p,f,c,n,k,t,e,s,k,y,y,p,n,n,l,o,n,l,2.0
e,s,f,e,t,c,a,c,n,o,t,?,y,k,y,e,p,n,o,p,r,v,u,2.0
p,s,s,n,t,l,f,w,n,b,e,r,s,k,n,p,p,o,o,n,b,v,g,2.0
e,s,y,w,t,a,f,c,b,u,t,?,y,y,w,b,p,n,n,n,h,v,w,2.0
p,k,f,n,t,l,f,w,n,e,t,r,k,k,e,g,p,w,t,f,k,c,m,2.0
e,x,y,g,f,c,a,c,n,b,e,b,y,f,g,g,p,y,o,p,r,s,m,2.0
e,f,y,n,f,p,a,c,n,h,t,e,k,s,b,n,p,w,o,f,b,s,m,2.0
e,x,f,w,t,n,f,c,b,w,e,c,s,s,n,g,p,y,n,l,r,c,d,2.0
e,b,g,y,f,c,f,w,b,b,t,r,f,k,n,e,p,n,t,e,o,c,p,2.0
e,c,g,u,f,a,a,w,n,o,e,c,s,y,c,n,p,o,o,p,o,a,u,2.0
p,c,s,b,f,c,f,w,b,g,e,b,k,f,y,c,p,o,t,f,b,n,p,2.0
e,k,s,p,t,p,f,w,n,b,t,b,y,f,p,e,p,o,n,n,k,n,m,2.0
e,x,y,n,t,s,f,c,n,b,t,b,k,f,p,w,p,n,n,e,h,n,w,2.0
e,s,s,g,t,m,f,w,n,n,t,r,s,y,e,y,p,w,t,e,y,s,p,2.0
e,f,s,u,t,l,f,c,n,o,e,r,k,s,p,w,p,n,o,l,r,a,l,2.0
e,f,s,n,f,a,f,w,b,k,e,r,f,y,b,b,p,o,o,p,w,s,m,2.0
e,b,g,b,f,s,f,w,n,o,t,b,s,f,y,n,p,o,n,l,k,s,u,2.0
p,k,f,g,t,a,f,c,n,h,t,c,y,y,g,p,p,n,o,f,o,s,l,2.0
p,s,g,e,f,l,a,w,b,o,e,c,y,s,b,g,p,w,n,f,r,v,d,2.0
e,c,g,u,t,s,f,w,n,n,e,r,k,s,y,o,p,n,o,n,h,y,u,2.0
e,s,f,y,f,n,a,c,n,o,e,r,s,y,e,y,p,y,o,l,n,a,p,2.0
e,c,f,c,t,y,f,c,b,w,t,e,f,f,w,y,p,y,o,l,h,a,w,2.0
p,k,g,p,f,s,f,w,n,w,t,?,k,k,p,b,p,w,t,l,n,a,p,2.0
e,k,g,p,f,a,f,w,b,w,t,e,k,f,n,n,p,y,o,f,b,v,m,2.0
p,k,y,g,f,n,f,w,n,u,t,b,s,s,c,e,p,n,o,f,r,a,w,2.0
p,b,y,n,t,l,a,w,n,k,e,c,f,f,y,w,p,w,n,p,o,c,p,2.0
e,b,f,u,f,m,a,c,b,h,t,e,f,k,y,b,p,n,n,f,r,n,p,2.0
e,s,g,u,f,c,f,c,n,b,e,r,k,k,e,c,p,n,n,e,k,c,w,2.0
e,b,f,y,t,l,a,w,n,n,e,r,k,f,y,p,p,y,n,e,w,n,p,2.0
p,b,g,g,f,c,f,c,b,w,t,b,k,y,p,o,p,w,o,l,u,y,w,2.0
p,f,s,c,t,l,a,w,n,g,e,c,y,y,y,g,p,n,o,n,h,c,d,2.0
p,s,g,g,f,y,a,w,n,g,e,b,k,k,y,e,p,w,o,l,k,s,l,2.0
p,x,f,r,t,c,a,w,n,h,t,r,f,y,n,c,p,w,n,f,k,c,l,2.0
p,x,f,g,f,m,a,c,b,h,t,b,y,k,b,o,p,o,o,l,y,s,g,2.0
e,x,f,e,t,f,a,c,n,o,e,e,k,s,p,n,p,y,t,l,u,s,p,2.0
p,f,f,u,t,f,a,w,n,h,t,?,s,y,p,w,p,y,o,e,o,n,g,2.0
e,c,s,c,t,y,a,c,n,p,e,e,s,y,o,p,p,o,o,n,b,c,l,2.0
p,f,f,w,t,l,a,w,b,e,e,c,s,k,w,b,p,y,o,l,w,a,m,2.0
e,b,y,p,f,m,a,w,b,n,t,c,k,y,p,n,p,w,t,l,w,y,p,2.0
p,k,s,p,t,n,f,w,b,h,e,?,y,y,b,o,p,o,n,e,b,s,d,2.0
e,b,y,n,t,s,f,c,b,u,t,e,y,y,b,e,p,o,t,l,h,v,u,2.0
p,s,g,u,t,y,a,c,b,r,e,e,y,f,y,b,p,o,o,p,y,y,g,2.0
p,x,s,p,f,y,a,w,n,n,t,e,s,f,y,e,p,o,n,f,b,c,p,2.0
e,b,f,w,f,n,a,w,b,u,t,e,k,f,b,n,p,n,n,n,b,s,w,2.0
p,k,y,g,t,m,f,w,n,b,e,r,s,y,c,g,p,y,o,l,y,n,p,2.0
e,k,f,u,f,a,f,w,b,u,t,e,y,f,w,y,p,o,t,f,k,y,u,2.0
e,s,g,p,t,s,f,c,n,o,e,b,s,k,n,e,p,n,t,e,k,c,l,2.0
e,b,g,r,t,p,a,c,b,u,t,e,y,s,w,n,p,w,o,e,n,c,g,2.0
p,x,s,n,f,a,f,w,n,r,t,r,k,s,b,e,p,o,o,l,h,v,m,2.0
p,b,y,b,f,s,a,w,n,h,t,r,f,y,c,e,p,y,o,f,r,s,p,2.0
e,f,y,b,f,f,f,w,n,b,e,?,k,f,w,g,p,w,n,n,y,s,p,2.0
e,c,s,b,f,m,f,c,b,o,e,e,s,k,w,g,p,y,o,p,y,s,w,2.0
p,c,f,b,f,s,a,c,b,e,e,c,s,f,p,c,p,o,t,l,n,v,l,2.0
e,c,y,n,f,f,a,w,b,b,e,r,s,f,b,o,p,w,n,f,w,c,d,2.0
e,x,s,e,f,f,f,c,b,g,t,r,y,y,p,g,p,o,o,p,w,a,d,2.0
p,b,g,u,t,n,f,w,n,w,t,e,y,f,c,o,p,y,n,e,o,c,d,2.0
p,f,f,r,t,n,f,w,n,e,e,r,k,s,y,p,p,w,n,n,y,c,l,2.0
e,f,f,p,t,n,a,c,n,b,t,b,y,f,n,b,p,o,n,e,u,n,u,2.0
e,c,s,u,f,f,a,w,b,p,e,?,k,y,e,y,p,w,o,p,y,c,w,2.0
e,b,f,u,f,a,a,c,b,w,e,c,s,f,e,g,p,y,n,p,r,y,d,2.0
p,c,g,w,t,y,a,w,b,b,t,b,s,f,w,w,p,w,o,l,w,n,u,2.0
p,x,g,p,t,p,f,w,n,y,t,?,s,s,o,p,p,o,n,f,k,n,p,2.0
p,k,g,p,f,y,f,c,n,w,e,e,y,y,b,b,p,n,n,p,r,c,d,2.0
p,f,g,p,f,n,a,c,b,k,t,b,f,f,n,e,p,o,o,n,n,s,m,2.0
p,s,y,b,t,l,a,c,n,o,t,e,f,s,b,b,p,o,n,e,u,n,u,2.0
e,f,s,e,t,y,f,w,b,u,t,b,k,y,o,p,p,w,o,l,n,v,g,2.0
p,x,s,w,f,p,a,w,n,y,t,b,s,k,o,c,p,o,o,e,w,c,p,2.0
p,f,s,e,t,a,f,w,n,h,e,?,y,f,g,b,p,n,o,l,k,a,u,2.0
p,c,s,p,f,c,f,c,n,e,e,e,s,f,p,o,p,y,n,p,r,v,u,2.0
e,b,g,w,t,c,a,w,b,b,t,b,k,k,b,g,p,w,t,n,y,a,g,2.0
p,c,f,e,f,l,f,w,n,b,t,b,s,k,o,b,p,o,o,f,b,n,d,2.0
e,c,f,p,t,s,a,w,b,p,t,?,k,s,g,o,p,o,o,n,r,a,m,2.0
p,x,f,w,f,n,f,w,n,u,t,e,f,y,p,y,p,o,o,l,u,n,m,2.0
p,b,s,y,f,a,f,c,b,r,e,?,s,s,p,o,p,y,o,n,n,n,d,2.0
p,x,f,u,t,s,a,w,b,k,e,?,f,s,c,n,p,w,o,l,o,a,g,2.0
p,x,f,p,f,y,a,c,n,b,t,r,k,s,b,o,p,y,n,l,u,s,w,2.0
p,c,f,y,t,s,f,c,n,r,t,e,s,k,c,n,p,o,t,p,o,y,g,2.0
e,s,f,r,t,m,a,w,n,g,t,e,y,s,b,c,p,n,n,e,b,c,l,2.0
e,f,g,c,f,n,f,w,b,p,e,r,s,s,o,c,p,w,o,e,k,s,p,2.0
e,s,y,n,f,n,f,w,n,p,e,c,f,f,n,e,p,w,o,l,r,a,m,2.0
e,b,f,c,f,n,f,w,n,h,e,e,y,k,b,n,p,o,t,f,n,s,u,2.0
p,b,f,w,t,p,f,w,b,h,t,r,k,y,n,n,p,o,o,f,r,c,d,2.0
e,k,y,c,t,y,a,w,n,e,e,e,f,s,b,w,p,n,t,n,n,y,p,2.0
e,c,g,r,t,s,a,c,n,u,t,?,f,s,c,p,p,y,o,l,u,s,p,2.0
p,c,f,e,t,f,f,c,n,p,t,c,s,s,y,w,p,w,o,f,o,y,d,2.0
p,k,s,b,f,l,a,w,n,y,t,?,y,f,c,g,p,w,n,p,u,n,m,2.0
e,x,s,p,t,f,a,w,b,w,e,e,s,y,o,n,p,w,n,f,u,v,l,2.0
p,k,g,b,t,y,a,c,b,u,e,b,s,f,w,g,p,y,n,e,y,n,m,2.0
e,x,g,r,f,c,a,c,b,p,t,c,k,k,g,y,p,w,o,e,b,a,g,2.0
p,c,f,p,t,c,a,w,b,r,e,r,k,s,p,w,p,y,n,e,n,y,d,2.0
e,x,f,r,t,f,f,c,n,g,t,e,f,s,y,c,p,y,n,n,h,n,m,2.0
e,x,y,b,f,f,a,c,n,r,e,?,y,f,o,n,p,y,t,p,k,n,u,2.0
e,x,s,w,f,c,a,w,b,w,t,c,f,s,y,c,p,n,t,l,r,v,g,2.0
e,x,y,r,t,p,f,c,b,k,t,e,y,y,y,y,p,y,o,f,k,v,w,2.0
e,c,g,u,t,f,a,c,b,b,e,b,f,s,y,o,p,w,t,l,b,y,d,2.0
e,c,s,r,t,f,f,c,b,o,t,c,y,f,e,n,p,o,o,e,h,a,p,2.0
p,f,s,n,f,y,f,c,n,p,e,r,s,k,n,p,p,y,n,f,u,a,l,2.0
e,b,f,y,t,f,f,w,n,p,t,e,y,f,y,n,p,y,n,n,h,y,l,2.0
e,f,f,u,t,y,f,w,n,y,t,e,s,k,e,e,p,y,n,p,r,v,m,2.0
e,s,f,u,t,l,a,w,n,h,t,e,k,s,c,n,p,y,t,e,u,n,m,2.0
p,f,y,b,f,f,f,w,n,o,t,b,s,f,b,o,p,w,t,l,y,s,g,2.0
e,s,y,r,t,n,a,c,n,h,t,b,f,f,n,y,p,w,n,p,b,c,l,2.0
e,f,f,y,t,f,a,w,b,u,e,r,y,f,y,b,p,n,t,p,r,v,d,2.0
e,c,g,n,f,n,f,w,n,u,t,e,s,k,b,g,p,o,t,p,h,c,l,2.0
p,f,f,y,t,f,f,c,n,k,t,e,y,k,w,p,p,n,n,l,b,a,g,2.0
e,f,y,e,t,p,f,c,b,n,t,b,f,k,n,b,p,w,t,e,b,y,m,2.0
e,s,g,w,f,a,f,w,b,e,e,c,f,y,w,b,p,n,n,f,n,n,g,2.0
p,f,g,n,t,a,f,w,b,w,t,?,f,f,w,y,p,o,o,e,y,c,d,2.0
p,s,y,e,t,a,a,c,b,p,t,?,y,y,p,p,p,n,t,l,n,c,m,2.0
e,s,g,y,f,s,f,w,n,r,t,r,y,y,e,n,p,y,t,f,w,v,w,2.0
e,k,y,c,t,c,a,c,b,p,e,?,s,s,b,g,p,y,o,e,o,s,l,2.0
p,b,y,p,t,s,a,c,n,h,t,?,k,k,n,n,p,y,t,e,w,n,g,2.0
e,f,y,p,f,m,a,w,n,r,t,b,f,s,g,b,p,w,n,f,k,s,l,2.0
p,c,s,p,f,y,f,w,b,w,t,b,k,k,o,c,p,o,o,l,r,y,p,2.0
e,k,g,g,f,p,f,w,b,y,e,e,f,y,g,y,p,o,n,f,k,s,m,2.0
p,s,f,y,f,p,a,w,n,u,e,r,s,k,c,y,p,w,o,l,r,a,p,2.0
e,b,g,e,f,s,f,w,b,g,e,b,s,f,o,n,p,w,n,f,u,y,g,2.0
p,f,g,b,f,a,a,w,b,p,e,?,k,f,g,e,p,n,t,e,r,c,w,2.0
p,s,y,y,t,n,f,w,b,b,t,?,f,y,p,n,p,y,o,l,n,s,g,2.0
e,k,f,n,t,l,a,w,n,k,t,r,y,y,g,y,p,n,t,f,k,v,w,2.0
e,k,y,y,t,c,f,c,b,r,t,?,s,k,b,y,p,y,t,f,o,y,g,2.0
e,c,y,n,f,c,f,w,b,e,e,?,k,f,o,g,p,n,t,f,w,a,g,2.0
p,f,f,g,f,l,f,w,n,y,e,c,k,y,e,p,p,o,n,l,y,v,w,2.0
p,b,g,n,f,s,a,c,b,b,t,c,s,f,n,g,p,o,n,l,y,s,m,2.0
p,c,s,e,t,p,a,w,n,h,t,?,k,y,w,e,p,n,t,n,r,v,m,2.0
e,f,s,c,t,l,a,w,b,p,e,r,f,k,n,o,p,n,n,f,r,c,g,2.0
e,c,y,p,f,l,a,w,n,n,t,c,s,y,y,o,p,y,n,e,u,y,u,2.0
e,f,y,r,t,y,f,w,b,o,e,c,y,y,p,w,p,o,o,n,y,y,g,2.0
p,k,g,g,f,l,a,c,b,e,t,?,s,k,b,y,p,o,t,e,n,y,p,2.0
e,s,g,b,t,a,f,w,b,h,t,?,k,k,b,n,p,o,o,n,b,v,m,2.0
e,b,s,e,f,s,f,w,n,k,t,c,k,k,p,n,p,y,n,n,o,v,w,2.0
p,c,f,p,f,p,f,w,n,u,e,?,f,f,g,e,p,w,n,e,h,c,u,2.0
p,k,f,c,t,m,a,w,n,u,t,r,k,y,w,b,p,o,o,p,b,a,w,2.0
p,c,y,n,t,n,a,c,b,w,t,r,k,s,o,b,p,w,t,e,r,v,m,2.0
p,c,g,c,f,m,f,w,b,h,e,r,s,k,b,o,p,o,o,f,n,a,p,2.0
e,x,s,y,f,f,f,c,n,r,e,c,y,k,w,g,p,n,n,n,n,s,w,2.0
e,c,g,e,t,y,a,w,b,b,e,e,y,s,p,n,p,w,o,l,u,n,p,2.0
e,k,y,r,t,a,a,w,n,u,e,e,y,f,o,g,p,o,n,f,h,y,w,2.0
e,x,s,e,t,m,f,w,n,k,e,c,s,f,y,c,p,w,n,l,y,v,p,2.0
p,f,s,e,t,m,f,c,n,y,e,e,y,s,e,y,p,o,t,f,o,s,g,2.0
p,x,g,c,f,s,a,c,n,y,t,e,f,y,o,y,p,n,n,l,y,v,u,2.0
e,b,f,y,f,y,f,w,b,b,t,e,k,y,p,g,p,y,t,l,y,v,m,2.0
e,c,f,w,t,l,a,w,b,e,t,b,y,k,e,n,p,w,t,l,n,v,u,2.0
e,c,g,e,f,s,a,c,n,w,e,b,s,f,c,c,p,y,n,p,w,v,d,2.0
p,x,y,c,f,y,a,w,b,n,e,e,k,k,c,p,p,w,n,f,o,c,u,2.0
p,x,g,n,f,m,a,w,b,p,t,e,k,s,w,e,p,w,o,n,u,n,l,2.0
e,s,y,g,f,s,a,w,n,g,e,b,y,s,n,p,p,y,n,f,o,a,w,2.0
e,x,y,n,f,a,a,c,n,g,t,e,f,y,p,o,p,y,o,p,b,s,u,2.0
