F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,C
0,7,16,16,16,5,0,0,0,1,8,8,15,7,0,0,0,0,0,3,15,2,0,0,0,0,0,11,13,4,1,0,0,0,8,16,16,16,11,0,0,0,13,14,8,4,2,0,0,5,16,4,0,0,0,0,0,7,12,0,0,0,0,0,7
0,0,9,14,7,0,0,0,0,2,16,16,16,15,0,0,0,3,16,16,16,10,0,0,0,0,9,16,16,10,0,0,0,0,0,3,16,10,0,0,0,0,0,11,14,9,0,0,0,0,5,16,15,3,0,0,0,0,10,12,4,0,0,0,9
0,2,9,14,8,7,0,0,0,11,16,16,16,16,0,0,0,6,16,16,16,16,2,0,0,0,0,0,8,16,7,0,0,0,0,0,8,16,4,0,0,0,0,1,15,16,0,0,0,0,4,14,16,7,0,0,0,1,13,14,2,0,0,0,9
0,1,9,14,7,2,0,0,0,8,16,11,16,14,2,0,0,5,16,14,16,16,4,0,0,0,4,7,10,16,7,0,0,0,0,0,4,16,8,0,0,0,0,0,6,16,9,0,0,0,4,11,16,11,0,0,0,0,12,14,8,0,0,0,9
0,0,0,11,12,0,0,0,0,0,8,16,12,0,0,0,0,0,15,14,1,0,0,0,0,1,15,8,0,0,0,0,0,3,16,6,1,0,0,0,0,1,15,16,16,16,10,0,0,0,8,16,16,16,16,3,0,0,0,7,15,16,9,0,6
0,0,10,12,2,0,0,0,0,0,16,14,8,0,0,0,0,0,14,7,12,0,0,0,0,0,1,5,12,0,0,0,0,0,0,9,9,0,0,0,0,0,3,16,2,0,0,0,0,4,16,16,10,6,2,0,0,1,8,8,11,13,10,0,2
0,0,11,7,0,0,0,0,0,3,16,4,0,0,0,0,0,2,15,2,0,0,0,0,0,3,16,4,0,0,0,0,0,8,16,16,16,10,1,0,0,5,16,7,3,16,8,0,0,0,13,14,11,16,6,0,0,0,9,16,11,2,0,0,6
0,0,0,2,12,3,0,0,0,0,0,9,11,0,0,0,0,0,2,15,6,6,7,0,0,0,13,7,0,16,3,0,0,7,15,3,2,16,2,0,0,13,16,16,16,13,1,0,0,1,4,5,16,6,0,0,0,0,0,4,16,3,0,0,4
0,0,1,13,4,0,0,0,0,0,10,11,0,0,0,0,0,1,16,3,0,0,0,0,0,3,16,16,10,3,0,0,0,6,16,11,10,14,1,0,0,4,16,1,0,7,11,0,0,1,13,7,0,9,12,0,0,0,1,13,16,15,5,0,6
0,0,5,15,13,3,0,0,0,0,15,7,10,15,1,0,0,0,16,4,2,15,8,0,0,1,10,16,16,16,4,0,0,0,0,0,0,12,7,0,0,5,2,0,3,16,5,0,0,7,14,8,14,14,1,0,0,1,8,16,11,1,0,0,9
0,0,10,16,16,16,16,4,0,0,4,8,8,14,14,1,0,0,0,0,6,15,4,0,0,0,4,12,15,14,4,0,0,0,11,16,16,16,9,0,0,0,0,14,10,3,0,0,0,0,6,16,5,0,0,0,0,0,12,12,0,0,0,0,7
0,0,6,15,2,0,0,0,0,0,3,16,8,0,0,0,0,0,4,16,10,0,0,0,0,0,7,16,13,0,0,0,0,0,0,9,16,2,0,0,0,0,0,1,16,7,0,0,0,0,2,10,15,15,15,6,0,0,4,16,16,16,16,13,1
0,0,11,15,4,0,0,0,0,0,7,16,16,16,11,0,0,0,0,1,7,16,11,0,0,2,4,2,15,12,1,0,0,13,16,16,16,12,3,0,0,2,6,16,11,14,4,0,0,0,7,16,4,0,0,0,0,0,14,14,1,0,0,0,7
0,0,0,11,11,0,0,0,0,0,2,16,13,0,0,0,0,0,6,16,5,0,0,0,0,0,11,16,5,0,0,0,0,0,13,16,14,12,1,0,0,0,11,14,2,8,14,0,0,0,6,16,5,12,15,1,0,0,0,8,15,13,6,0,6
0,0,2,15,3,0,0,0,0,0,2,14,10,0,0,0,0,0,15,16,14,0,0,0,0,0,6,12,16,0,0,0,0,0,0,1,16,2,0,0,0,0,0,0,13,6,0,0,0,0,8,14,14,14,8,3,0,0,2,11,12,12,13,9,1
0,0,0,1,10,0,0,0,0,0,0,11,8,2,1,0,0,0,3,13,0,8,8,0,0,0,10,8,2,15,3,0,0,6,16,15,16,16,5,0,0,12,15,12,15,14,3,0,0,0,0,0,15,1,0,0,0,0,0,0,12,0,0,0,4
0,0,10,15,16,15,1,0,0,7,16,10,4,3,1,0,0,8,13,8,0,0,0,0,0,7,16,16,7,0,0,0,0,1,8,10,8,0,0,0,0,0,0,5,15,0,0,0,0,0,1,8,14,0,0,0,0,0,6,16,10,0,0,0,5
0,0,0,7,14,2,0,0,0,0,5,16,16,4,0,0,0,0,13,16,7,0,0,0,0,0,14,13,0,0,0,0,0,0,16,16,16,5,2,0,0,0,14,16,15,13,15,1,0,0,8,16,11,14,16,1,0,0,0,4,12,14,7,0,6
0,0,8,16,16,10,0,0,0,1,15,15,9,15,1,0,0,0,14,3,0,15,5,0,0,0,0,0,0,15,6,0,0,0,0,0,5,16,4,0,0,0,0,0,12,14,0,0,0,0,8,15,16,6,4,1,0,0,10,16,16,16,16,9,2
0,0,0,1,13,2,0,0,0,0,0,8,16,4,0,0,0,0,0,16,8,0,0,0,0,0,3,16,2,0,0,0,0,0,13,16,11,5,0,0,0,1,15,12,6,12,4,0,0,0,1,13,8,12,10,0,0,0,0,2,12,13,8,0,6
0,0,7,10,10,2,0,0,0,0,12,16,16,4,0,0,0,0,5,16,16,4,0,0,0,0,4,16,16,5,0,0,0,0,1,15,16,7,0,0,0,0,4,16,16,12,0,0,0,0,9,16,16,12,0,0,0,0,6,12,12,11,0,0,1
0,0,11,15,0,0,0,0,0,0,9,16,1,0,0,0,0,0,9,16,0,0,0,0,0,0,11,13,0,9,5,0,0,0,13,11,0,11,13,0,0,1,15,10,6,12,16,1,0,4,16,16,16,15,16,4,0,0,7,7,4,0,15,7,4
0,0,1,10,2,3,0,0,0,0,8,16,15,16,0,0,0,0,12,16,16,4,0,0,0,0,12,16,7,0,0,0,0,3,16,13,13,1,0,0,0,1,16,4,12,10,0,0,0,0,11,12,11,16,2,0,0,0,2,12,14,9,1,0,8
0,0,1,11,10,0,0,0,0,0,11,16,13,3,0,0,0,2,16,14,14,16,10,0,0,2,13,16,16,16,8,0,0,0,0,2,0,16,7,0,0,0,0,0,2,16,3,0,0,0,0,4,15,12,0,0,0,0,0,13,8,0,0,0,9
0,0,5,15,2,0,0,0,0,0,16,15,0,0,0,0,0,5,16,6,0,0,0,0,0,8,16,11,11,4,0,0,0,8,16,16,16,16,2,0,0,6,16,8,6,16,5,0,0,2,16,14,16,16,2,0,0,0,9,16,14,7,0,0,6
0,0,5,13,3,0,0,0,0,0,12,16,11,0,0,0,0,0,5,13,16,1,0,0,0,0,0,3,16,3,0,0,0,0,0,9,16,1,0,0,0,0,1,16,9,0,0,0,0,0,7,16,13,8,4,0,0,0,5,16,16,16,16,5,2
0,0,4,13,12,3,0,0,0,0,15,16,16,7,0,0,0,0,16,16,16,16,3,0,0,0,11,16,16,5,0,0,0,0,15,10,12,15,1,0,0,2,16,4,1,16,10,0,0,1,15,12,11,16,5,0,0,0,6,15,9,1,0,0,8
0,0,7,9,15,6,0,0,0,2,16,16,16,16,3,0,0,7,15,8,1,13,8,0,0,8,10,0,0,8,8,0,0,8,9,0,0,8,8,0,0,7,14,0,3,15,5,0,0,2,16,14,16,13,1,0,0,0,8,13,8,0,0,0,0
0,0,0,0,8,16,2,0,0,0,0,6,16,16,3,0,0,0,1,15,16,16,0,0,0,0,13,16,16,12,0,0,0,4,16,7,16,12,0,0,0,5,4,3,16,9,0,0,0,0,0,2,16,8,0,0,0,0,0,0,12,14,0,0,1
0,0,0,7,12,2,0,0,0,1,10,16,15,6,0,0,0,0,15,13,1,0,0,0,0,2,16,8,0,0,0,0,0,2,16,11,12,9,0,0,0,2,16,14,10,14,10,0,0,0,11,15,8,11,16,1,0,0,1,9,16,16,13,1,6
0,0,0,6,15,16,6,0,0,0,3,16,5,9,12,0,0,0,4,15,7,13,4,0,0,0,14,16,16,10,0,0,0,5,16,13,11,0,0,0,0,5,15,1,16,3,0,0,0,0,10,13,15,6,0,0,0,0,0,5,13,5,0,0,8
0,0,0,0,11,16,3,0,0,0,1,11,16,16,8,0,0,3,13,16,16,16,5,0,0,10,16,11,9,16,6,0,0,1,4,0,11,16,4,0,0,0,0,0,12,16,2,0,0,0,0,0,13,15,1,0,0,0,0,0,8,16,5,0,1
0,0,0,4,16,11,0,0,0,0,0,13,16,10,0,0,0,0,12,16,16,7,0,0,0,5,14,13,16,5,0,0,0,0,0,8,16,4,0,0,0,0,0,4,16,7,0,0,0,0,0,4,16,8,0,0,0,0,0,3,14,8,0,0,1
0,2,16,10,9,8,0,0,0,0,10,16,16,12,0,0,0,1,5,10,16,10,6,0,0,11,16,16,16,15,7,0,0,3,5,14,9,2,0,0,0,0,6,16,0,0,0,0,0,0,10,10,0,0,0,0,0,3,16,1,0,0,0,0,7
0,0,6,12,15,15,9,0,0,0,8,12,4,4,3,0,0,0,12,3,0,0,0,0,0,1,15,6,3,0,0,0,0,8,16,12,16,6,0,0,0,3,4,0,4,11,0,0,0,4,15,5,13,6,0,0,0,0,6,16,10,0,0,0,5
0,0,7,13,12,9,1,0,0,3,15,5,5,16,4,0,0,3,15,2,7,16,1,0,0,0,5,15,16,15,4,0,0,0,0,0,0,11,7,0,0,1,4,0,0,9,7,0,0,3,13,1,0,10,8,0,0,0,9,15,16,16,1,0,9
0,0,1,13,10,0,0,0,0,0,9,16,11,0,0,0,0,3,16,11,0,0,0,0,0,5,16,11,7,1,0,0,0,4,16,16,16,15,3,0,0,3,16,12,2,12,11,0,0,0,12,14,5,9,15,0,0,0,0,10,15,16,11,0,6
0,0,4,14,15,4,0,0,0,1,16,14,15,13,0,0,0,4,16,7,4,16,3,0,0,5,16,3,0,12,4,0,0,4,16,2,0,11,8,0,0,2,16,6,1,15,4,0,0,0,12,13,13,14,1,0,0,0,3,16,15,4,0,0,0
0,1,9,13,9,2,0,0,0,6,16,10,16,7,0,0,0,0,0,2,16,6,0,0,0,0,2,13,14,0,0,0,0,0,2,13,16,13,0,0,0,0,0,0,4,15,8,0,0,0,8,4,4,14,11,0,0,1,14,16,16,12,1,0,3
0,0,2,9,16,6,0,0,0,1,15,16,11,5,0,0,0,2,16,7,0,0,0,0,0,5,16,0,3,0,0,0,0,4,16,16,16,14,3,0,0,2,16,6,1,10,10,0,0,0,10,12,8,15,10,0,0,0,1,11,16,12,4,0,6
0,0,0,11,15,5,0,0,0,0,8,16,13,6,0,0,0,0,11,14,0,0,0,0,0,0,15,15,12,8,0,0,0,0,16,14,12,15,9,0,0,0,16,6,0,11,14,0,0,0,10,14,9,16,11,0,0,0,1,11,13,12,1,0,6
0,0,0,5,4,1,0,0,0,0,0,14,8,12,0,0,0,0,4,13,4,12,0,0,0,0,12,5,7,9,0,0,0,2,16,4,13,16,7,0,0,10,16,16,16,11,1,0,0,5,6,7,15,0,0,0,0,0,0,7,7,0,0,0,4
0,0,9,13,4,0,0,0,0,1,16,9,11,0,0,0,0,2,11,0,13,0,0,0,0,0,2,3,13,0,0,0,0,0,0,11,5,0,0,0,0,0,3,14,1,0,0,0,0,0,11,14,10,8,11,0,0,0,11,13,12,12,14,2,2
0,0,7,13,14,6,0,0,0,2,16,16,16,14,0,0,0,3,16,9,4,2,0,0,0,2,16,16,14,5,0,0,0,0,6,8,9,15,7,0,0,0,0,0,0,8,12,0,0,0,11,4,5,14,11,0,0,0,8,16,16,13,1,0,5
0,0,11,15,6,0,0,0,0,0,10,16,8,0,0,0,0,0,8,16,16,0,0,0,0,2,12,16,14,2,0,0,0,0,6,16,16,7,0,0,0,0,8,16,16,9,0,0,0,0,12,16,16,15,3,0,0,0,8,15,12,5,1,0,1
0,2,16,14,2,0,0,0,0,6,14,12,14,0,0,0,0,7,12,8,15,0,0,0,0,2,5,8,12,0,0,0,0,0,0,15,1,0,0,0,0,0,5,13,0,0,0,0,0,1,13,14,9,8,2,0,0,2,14,15,12,16,10,0,2
0,0,11,16,13,12,3,0,0,3,16,11,8,8,1,0,0,5,16,9,9,1,0,0,0,8,16,16,16,6,0,0,0,6,11,3,9,11,0,0,0,0,0,0,4,12,0,0,0,0,10,14,11,16,0,0,0,0,9,12,12,6,0,0,5
0,0,5,15,2,0,0,0,0,0,15,16,16,13,2,0,0,4,16,16,14,16,8,0,0,7,12,0,0,8,8,0,0,4,12,0,0,8,8,0,0,4,15,0,0,9,7,0,0,1,15,5,7,15,4,0,0,0,5,13,12,7,0,0,0
0,0,0,4,13,13,0,0,0,0,3,16,14,3,0,0,0,1,15,11,1,1,0,0,0,10,15,0,0,11,9,0,0,7,15,9,9,16,6,0,0,0,4,8,16,15,1,0,0,0,0,2,16,7,0,0,0,0,0,3,16,1,0,0,4
0,0,0,13,3,0,0,0,0,0,5,16,7,0,0,0,0,0,9,14,0,0,0,0,0,0,10,14,8,3,0,0,0,0,15,15,12,14,6,0,0,0,15,9,0,4,15,1,0,0,7,14,2,9,16,0,0,0,1,11,15,14,6,0,6
0,0,0,5,16,5,0,0,0,0,6,15,16,9,0,0,3,16,16,16,16,3,0,0,0,9,11,13,16,3,0,0,0,0,0,14,14,0,0,0,0,0,0,14,13,0,0,0,0,0,0,11,14,0,0,0,0,0,0,4,15,4,0,0,1
0,0,0,10,10,0,0,0,0,0,3,16,10,0,0,0,0,0,10,10,0,0,0,0,0,0,16,5,0,0,0,0,0,0,16,7,8,7,0,0,0,0,12,16,13,9,13,2,0,0,6,16,5,5,13,8,0,0,0,9,14,13,9,1,6
0,0,2,16,10,0,0,0,0,0,5,16,15,1,0,0,0,0,4,16,12,0,0,0,0,0,4,16,11,0,0,0,0,0,1,16,12,0,0,0,0,0,1,16,12,0,0,0,0,0,1,16,10,0,0,0,0,0,0,15,5,0,0,0,1
0,0,1,11,16,16,6,0,0,0,13,14,7,10,15,0,0,6,16,4,2,11,14,0,0,7,16,16,16,16,10,0,0,0,5,8,9,16,2,0,0,0,0,2,14,8,0,0,0,0,0,11,13,0,0,0,0,0,0,16,7,0,0,0,9
0,2,16,16,16,10,0,0,0,0,11,8,12,16,2,0,0,0,0,0,14,13,0,0,0,2,9,12,16,4,0,0,0,11,16,16,16,16,8,0,0,0,10,14,1,4,0,0,0,2,16,7,0,0,0,0,0,2,15,6,0,0,0,0,7
0,1,7,11,15,11,1,0,0,4,9,4,0,13,5,0,0,0,0,0,9,15,1,0,0,0,4,15,11,3,0,0,0,0,3,16,8,2,0,0,0,0,0,2,7,16,6,0,0,0,0,6,9,16,5,0,0,0,13,12,7,3,0,0,3
0,0,5,14,16,8,0,0,0,6,15,10,12,16,1,0,0,9,5,0,13,8,0,0,0,6,15,13,15,1,0,0,0,0,11,16,4,0,0,0,0,0,15,16,7,0,0,0,0,0,16,13,14,0,0,0,0,0,5,16,15,4,0,0,8
0,0,5,14,13,2,0,0,0,3,14,5,8,12,0,0,0,3,9,0,12,4,0,0,0,1,14,9,13,0,0,0,0,0,2,14,12,0,0,0,0,0,4,14,14,3,0,0,0,0,10,7,12,6,0,0,0,0,6,16,13,1,0,0,8
0,0,2,13,9,1,0,0,0,1,13,7,15,5,0,0,1,15,9,0,15,2,0,0,0,6,13,7,13,0,0,0,0,0,5,16,8,0,0,0,0,0,1,15,14,2,0,0,0,0,4,12,6,11,0,0,0,0,0,11,16,8,0,0,8
0,0,1,14,11,0,0,0,0,0,12,13,1,0,0,0,0,5,16,3,0,7,15,1,0,6,16,11,12,16,10,0,0,0,11,14,16,11,0,0,0,0,0,7,15,2,0,0,0,0,0,15,12,0,0,0,0,0,1,15,7,0,0,0,4
0,0,10,16,16,9,0,0,0,4,13,5,9,12,0,0,0,0,0,1,13,5,0,0,0,0,5,13,16,16,9,0,0,0,11,16,11,11,9,0,0,0,1,13,3,0,0,0,0,0,8,10,0,0,0,0,0,0,11,8,0,0,0,0,7
0,0,0,0,13,12,0,0,0,0,0,2,16,16,2,0,0,0,0,7,16,16,2,0,0,4,14,16,16,15,0,0,0,9,16,13,16,10,0,0,0,0,0,4,16,12,0,0,0,0,0,1,16,15,0,0,0,0,0,0,13,16,4,0,1
0,2,10,13,3,0,0,0,0,10,15,10,14,8,0,0,0,11,14,4,13,14,0,0,0,2,9,12,12,16,4,0,0,0,0,0,0,16,7,0,0,0,0,0,0,12,12,0,0,2,12,4,5,15,11,0,0,0,9,13,12,11,1,0,9
0,0,5,14,15,6,0,0,0,1,16,8,8,15,2,0,0,0,16,10,10,15,5,0,0,0,11,16,16,9,0,0,0,0,6,16,16,16,3,0,0,0,9,13,0,10,7,0,0,0,12,10,8,15,2,0,0,0,7,16,13,5,0,0,8
0,3,9,14,15,6,0,0,0,7,13,7,8,16,0,0,0,0,0,0,7,12,0,0,0,0,1,9,16,10,0,0,0,0,5,15,12,15,7,0,0,0,0,0,0,13,9,0,0,0,8,8,14,16,4,0,0,3,16,14,9,1,0,0,3
0,0,4,15,12,2,0,0,0,0,13,16,16,14,0,0,0,7,16,3,2,15,2,0,0,8,16,4,0,4,8,0,0,8,15,3,0,6,8,0,0,4,15,4,2,13,10,0,0,0,13,16,16,16,6,0,0,0,4,15,16,9,0,0,0
0,0,8,13,11,5,0,0,0,4,16,14,16,10,0,0,0,1,14,16,7,0,0,0,0,0,11,16,14,2,0,0,0,2,16,3,8,15,1,0,0,6,15,2,1,16,5,0,0,5,16,9,11,16,3,0,0,0,9,15,15,7,0,0,8
0,0,5,16,4,0,0,0,0,0,13,16,1,0,0,0,0,2,16,11,0,0,0,0,0,8,16,12,10,16,6,0,0,2,13,16,16,16,6,0,0,0,1,14,16,6,0,0,0,0,5,16,11,0,0,0,0,0,5,16,7,0,0,0,4
0,0,7,10,0,0,0,0,0,0,12,13,11,6,0,0,0,3,16,16,16,16,6,0,0,8,13,4,5,15,6,0,0,8,12,0,0,10,8,0,0,6,14,1,5,15,4,0,0,4,16,16,16,13,0,0,0,1,12,14,9,1,0,0,0
0,0,6,12,11,6,0,0,0,0,8,16,16,16,3,0,0,0,8,16,16,13,0,0,0,0,8,16,16,12,0,0,0,0,10,16,16,12,0,0,0,3,15,16,16,7,0,0,0,3,15,16,16,2,0,0,0,0,3,8,9,5,0,0,1
0,0,0,7,10,0,0,0,0,0,7,16,5,0,0,0,0,0,14,11,0,0,0,0,0,4,16,5,4,8,0,0,0,3,16,16,16,14,0,0,0,1,6,8,16,7,0,0,0,0,0,3,16,5,0,0,0,0,0,9,13,2,0,0,4
0,0,3,13,7,0,0,0,0,0,12,16,16,11,0,0,0,1,16,16,10,16,3,0,0,7,16,14,0,14,4,0,0,1,16,9,0,12,5,0,0,0,15,8,4,16,4,0,0,0,12,16,16,12,1,0,0,0,5,15,11,1,0,0,0
0,0,0,5,8,0,0,0,0,0,4,16,2,0,14,0,0,0,9,8,0,8,8,0,0,2,15,0,1,15,0,0,0,10,9,4,9,15,1,0,0,11,16,16,16,11,1,0,0,3,4,7,9,0,0,0,0,0,0,8,5,0,0,0,4
0,2,15,16,6,0,0,0,0,3,14,14,16,2,0,0,0,0,0,6,16,2,0,0,0,0,0,11,16,1,0,0,0,8,14,16,16,16,5,0,0,10,16,15,11,12,5,0,0,5,16,7,0,0,0,0,0,5,14,1,0,0,0,0,7
0,0,10,16,12,0,0,0,0,7,16,13,16,1,0,0,0,6,5,6,15,2,0,0,0,0,0,10,12,0,0,0,0,0,0,14,9,0,0,0,0,0,6,15,5,0,0,0,0,0,16,15,16,12,3,0,0,0,12,16,15,12,5,0,2
0,2,11,15,16,10,0,0,0,5,12,9,16,15,0,0,0,0,0,11,15,5,0,0,0,0,11,16,3,0,0,0,0,0,8,15,16,8,0,0,0,0,0,2,9,16,5,0,0,0,7,11,15,14,3,0,0,0,15,13,7,0,0,0,3
0,0,4,14,5,0,0,0,0,0,13,7,11,4,2,0,0,2,13,0,6,14,4,0,0,3,9,0,3,14,7,0,0,5,8,0,4,11,8,0,0,4,8,0,0,1,12,0,0,1,14,2,0,10,7,0,0,0,3,15,16,13,2,0,0
0,0,9,14,15,4,0,0,0,0,16,9,9,16,0,0,0,0,0,1,13,12,0,0,0,0,2,15,16,3,0,0,0,0,2,12,12,12,1,0,0,0,0,0,0,9,9,0,0,0,14,9,5,13,12,0,0,0,9,16,16,14,1,0,3
0,0,0,2,12,6,14,0,0,0,1,15,13,8,10,0,0,2,15,7,0,15,4,0,0,9,15,7,7,16,5,0,0,8,16,16,16,16,10,0,0,1,4,4,13,8,0,0,0,0,0,3,15,1,0,0,0,0,0,3,14,0,0,0,4
0,0,1,16,12,2,0,0,0,0,4,15,16,5,0,0,0,0,8,16,13,0,0,0,0,1,12,16,11,0,0,0,0,5,16,16,11,0,0,0,0,0,9,16,9,0,0,0,0,0,4,16,12,1,0,0,0,0,1,14,16,10,0,0,1
0,0,0,9,15,7,0,0,0,0,7,16,10,6,0,0,0,0,14,8,0,0,0,0,0,1,16,5,11,8,0,0,0,3,16,16,10,15,9,0,0,1,15,9,0,4,13,0,0,0,11,14,6,11,15,0,0,0,0,10,14,13,8,0,6
0,0,6,15,16,16,9,0,0,2,16,11,8,15,12,0,0,0,2,0,0,14,11,0,0,0,3,8,8,16,7,0,0,3,16,16,16,16,10,0,0,0,6,6,15,4,0,0,0,0,0,15,7,0,0,0,0,0,8,12,0,0,0,0,7
0,2,8,9,6,0,0,0,0,0,6,16,16,14,1,0,0,0,4,16,16,16,4,0,0,0,4,16,16,16,4,0,0,0,4,16,16,16,3,0,0,0,7,16,16,12,0,0,0,1,14,16,16,11,0,0,0,2,10,9,5,1,0,0,1
0,0,8,16,2,3,0,0,0,0,15,11,5,16,1,0,0,0,16,4,9,16,1,0,0,0,8,13,15,12,0,0,0,0,8,16,13,0,0,0,0,0,13,16,7,0,0,0,0,1,16,16,7,0,0,0,0,0,8,13,1,0,0,0,8
